First Name,Last Name,Full Name,Email,Phone,Job Title,Company,Industry,Seniority,City,State,Country,LinkedIn URL,Website,Lead Score,Lead Tier,Lead Status,Enrichment Status,Data Quality,Source,Scraped Date,Enriched Date
Priya,Sharma,Priya Sharma,priya.sharma@axisgrowthpartners.com,+91-939313-1865,CEO,Axis Growth Partners,Investment,c_suite,Bangalore,Maharashtra,India,https://linkedin.com/in/priya-sharma-ziieme,,0,Cold,,success,,apollo_intent_signal,,
Sneha,Mehta,Sneha Mehta,sneha.mehta@centurionfinance.com,+91-980708-3006,Co-Founder,Centurion Finance,Finance,c_suite,Pune,Maharashtra,India,https://linkedin.com/in/sneha-mehta-w14imb,,0,Cold,,success,,apollo_intent_signal,,
Neha,Mehta,Neha Mehta,neha.mehta@axisgrowthpartners.com,+91-930193-8475,Owner,Axis Growth Partners,Financial Services,c_suite,Pune,Maharashtra,India,https://linkedin.com/in/neha-mehta-hux4ur,,0,Cold,,success,,apollo_intent_signal,,
Vikram,Patel,Vikram Patel,vikram.patel@axisgrowthpartners.com,+91-940046-4647,Founder,Axis Growth Partners,Private Equity,c_suite,Mumbai,Maharashtra,India,https://linkedin.com/in/vikram-patel-zanbg,,0,Cold,,success,,apollo_intent_signal,,
Rahul,Mehta,Rahul Mehta,rahul.mehta@elevatecapital.com,+91-922232-9118,Co-Founder,Elevate Capital,Real Estate,c_suite,Chennai,Maharashtra,India,https://linkedin.com/in/rahul-mehta-8hs7ko,,0,Cold,,success,,apollo_intent_signal,,
Neha,Gupta,Neha Gupta,neha.gupta@northstarinvestments.com,+91-905383-2205,CEO,NorthStar Investments,Real Estate,c_suite,Hyderabad,Maharashtra,India,https://linkedin.com/in/neha-gupta-lrexwb,,0,Cold,,success,,apollo_intent_signal,,
Neha,Sharma,Neha Sharma,neha.sharma@centurionfinance.com,+91-969226-1003,Co-Founder,Centurion Finance,Financial Services,c_suite,Chennai,Maharashtra,India,https://linkedin.com/in/neha-sharma-i8oss,,0,Cold,,success,,apollo_intent_signal,,
Ananya,Gupta,Ananya Gupta,ananya.gupta@primewealthadvisors.com,+91-915597-5068,CEO,Prime Wealth Advisors,Venture Capital,c_suite,Hyderabad,Maharashtra,India,https://linkedin.com/in/ananya-gupta-0kq6d4,,0,Cold,,success,,apollo_intent_signal,,
Amit,Reddy,Amit Reddy,amit.reddy@aurorafamilyoffice.com,+91-947667-7749,Owner,Aurora Family Office,Financial Services,c_suite,Bangalore,Maharashtra,India,https://linkedin.com/in/amit-reddy-tll44d,,0,Cold,,success,,apollo_intent_signal,,
Ananya,Patel,Ananya Patel,ananya.patel@centurionfinance.com,+91-955825-1585,Co-Founder,Centurion Finance,Financial Services,c_suite,Chennai,Maharashtra,India,https://linkedin.com/in/ananya-patel-0o34hk,,0,Cold,,success,,apollo_intent_signal,,
Neha,Iyer,Neha Iyer,neha.iyer@centurionfinance.com,+91-944249-8280,Founder,Centurion Finance,Financial Services,c_suite,Pune,Maharashtra,India,https://linkedin.com/in/neha-iyer-2w3qar,,0,Cold,,success,,apollo_intent_signal,,
Sneha,Gupta,Sneha Gupta,sneha.gupta@axisgrowthpartners.com,+91-968548-4394,Founder,Axis Growth Partners,Real Estate,c_suite,Chennai,Maharashtra,India,https://linkedin.com/in/sneha-gupta-5nkbyf,,0,Cold,,success,,apollo_intent_signal,,
Karan,Mehta,Karan Mehta,karan.mehta@elevatecapital.com,+91-919251-5228,Founder,Elevate Capital,Venture Capital,c_suite,Delhi,Maharashtra,India,https://linkedin.com/in/karan-mehta-ok1z,,0,Cold,,success,,apollo_intent_signal,,
