First Name,Last Name,Full Name,Email,Phone,Job Title,Company,Industry,Seniority,City,State,Country,LinkedIn URL,Website,Lead Score,Lead Tier,Lead Status,Enrichment Status,Data Quality,Source,Scraped Date,Enriched Date
Vikram,Sharma,Vikram Sharma,vikram.sharma@elevatecapital.com,+91-946571-6539,VP,Elevate Capital,E-commerce,vp,Mumbai,Maharashtra,India,https://linkedin.com/in/vikram-sharma-k7vweh,,0,Cold,,success,,apollo_intent_signal,,
Karan,Gupta,Karan Gupta,karan.gupta@primewealthadvisors.com,+91-990581-2339,Senior Manager,Prime Wealth Advisors,Consulting,manager,Hyderabad,Maharashtra,India,https://linkedin.com/in/karan-gupta-ct30ba,,0,Cold,,success,,apollo_intent_signal,,
Priya,Reddy,Priya Reddy,priya.reddy@primewealthadvisors.com,+91-997238-2296,Vice President,Prime Wealth Advisors,Manufacturing,vp,Chennai,Maharashtra,India,https://linkedin.com/in/priya-reddy-ph5dw,,0,Cold,,success,,apollo_intent_signal,,
Priya,Sharma,Priya Sharma,priya.sharma@aurorafamilyoffice.com,+91-923009-8555,Vice President,Aurora Family Office,Professional Services,vp,Chennai,Maharashtra,India,https://linkedin.com/in/priya-sharma-1fwtsq,,0,Cold,,success,,apollo_intent_signal,,
Karan,Reddy,Karan Reddy,karan.reddy@aurorafamilyoffice.com,+91-995488-4934,Director,Aurora Family Office,Healthcare,director,Chennai,Maharashtra,India,https://linkedin.com/in/karan-reddy-c2hfa,,0,Cold,,success,,apollo_intent_signal,,
Karan,Sharma,Karan Sharma,karan.sharma@elevatecapital.com,+91-988347-8071,Director,Elevate Capital,Consulting,director,Delhi,Maharashtra,India,https://linkedin.com/in/karan-sharma-ptq3sn,,0,Cold,,success,,apollo_intent_signal,,
Rahul,Iyer,Rahul Iyer,rahul.iyer@aurorafamilyoffice.com,+91-972946-5311,Director,Aurora Family Office,Manufacturing,director,Delhi,Maharashtra,India,https://linkedin.com/in/rahul-iyer-zvmofs,,0,Cold,,success,,apollo_intent_signal,,
Neha,Mehta,Neha Mehta,neha.mehta@northstarinvestments.com,+91-972794-9528,General Manager,NorthStar Investments,Healthcare,manager,Bangalore,Maharashtra,India,https://linkedin.com/in/neha-mehta-bqq25,,0,Cold,,success,,apollo_intent_signal,,
Vikram,Kapoor,Vikram Kapoor,vikram.kapoor@northstarinvestments.com,+91-909746-9586,Senior Manager,NorthStar Investments,Software,manager,Delhi,Maharashtra,India,https://linkedin.com/in/vikram-kapoor-wc8rxia,,0,Cold,,success,,apollo_intent_signal,,
Neha,Patel,Neha Patel,neha.patel@northstarinvestments.com,+91-932605-6968,Vice President,NorthStar Investments,E-commerce,vp,Delhi,Maharashtra,India,https://linkedin.com/in/neha-patel-is2nsc,,0,Cold,,success,,apollo_intent_signal,,
