First Name,Last Name,Full Name,Email,Phone,Job Title,Company,Industry,Seniority,City,State,Country,LinkedIn URL,Website,Lead Score,Lead Tier,Lead Status,Enrichment Status,Data Quality,Source,Scraped Date,Enriched Date
Karan,Gupta,Karan Gupta,karan.gupta@axisgrowthpartners.com,+91-987637-5161,Co-Founder,Axis Growth Partners,Investment Advisory,c_suite,Bangalore,Maharashtra,India,https://linkedin.com/in/karan-gupta-ieporn,,0,Cold,,success,,apollo_intent_signal,,
Sneha,Gupta,Sneha Gupta,sneha.gupta@aurorafamilyoffice.com,+91-947564-3019,VP Strategic Alliances,Aurora Family Office,Investment Advisory,vp,Bangalore,Maharashtra,India,https://linkedin.com/in/sneha-gupta-k32ioa,,0,Cold,,success,,apollo_intent_signal,,
Vikram,Gupta,Vikram Gupta,vikram.gupta@aurorafamilyoffice.com,+91-958076-8224,Director of Partnerships,Aurora Family Office,Investment Advisory,director,Pune,Maharashtra,India,https://linkedin.com/in/vikram-gupta-xc2fia,,0,Cold,,success,,apollo_intent_signal,,
Neha,Gupta,Neha Gupta,neha.gupta@primewealthadvisors.com,+91-921344-4120,Founder,Prime Wealth Advisors,Wealth Management,c_suite,Delhi,Maharashtra,India,https://linkedin.com/in/neha-gupta-6g6zp,,0,Cold,,success,,apollo_intent_signal,,
Amit,Reddy,Amit Reddy,amit.reddy@northstarinvestments.com,+91-918780-2338,Founder,NorthStar Investments,Wealth Tech,c_suite,Hyderabad,Maharashtra,India,https://linkedin.com/in/amit-reddy-8svr8a,,0,Cold,,success,,apollo_intent_signal,,
Vikram,Iyer,Vikram Iyer,vikram.iyer@centurionfinance.com,+91-914407-5333,Co-Founder,Centurion Finance,FinTech,c_suite,Mumbai,Maharashtra,India,https://linkedin.com/in/vikram-iyer-h3bn08,,0,Cold,,success,,apollo_intent_signal,,
Ananya,Reddy,Ananya Reddy,ananya.reddy@northstarinvestments.com,+91-985211-2032,VP Business Development,NorthStar Investments,SaaS,vp,Pune,Maharashtra,India,https://linkedin.com/in/ananya-reddy-nsrfwf,,0,Cold,,success,,apollo_intent_signal,,
Neha,Gupta,Neha Gupta,neha.gupta@elevatecapital.com,+91-958617-5788,Director of Partnerships,Elevate Capital,Wealth Management,director,Chennai,Maharashtra,India,https://linkedin.com/in/neha-gupta-g79olj,,0,Cold,,success,,apollo_intent_signal,,
Sneha,Gupta,Sneha Gupta,sneha.gupta@northstarinvestments.com,+91-951448-5871,CEO,NorthStar Investments,Robo Advisory,c_suite,Delhi,Maharashtra,India,https://linkedin.com/in/sneha-gupta-mq75at,,0,Cold,,success,,apollo_intent_signal,,
Karan,Mehta,Karan Mehta,karan.mehta@elevatecapital.com,+91-902955-4806,Director of Partnerships,Elevate Capital,FinTech,director,Mumbai,Maharashtra,India,https://linkedin.com/in/karan-mehta-kxzn2i,,0,Cold,,success,,apollo_intent_signal,,
