First Name,Last Name,Full Name,Email,Phone,Job Title,Company,Industry,Seniority,City,State,Country,LinkedIn URL,Website,Lead Score,Lead Tier,Lead Status,Enrichment Status,Data Quality,Source,Scraped Date,Enriched Date
Amit,Gupta,Amit Gupta,amit.gupta@axisgrowthpartners.com,+91-933279-0053,Managing Partner,Axis Growth Partners,Hedge Fund,individual_contributor,Bangalore,Maharashtra,India,https://linkedin.com/in/amit-gupta-i6qcxs,,0,Cold,,success,,apollo_intent_signal,,
Sneha,Iyer,Sneha Iyer,sneha.iyer@centurionfinance.com,+91-905152-6634,CEO,Centurion Finance,Private Equity,c_suite,Bangalore,Maharashtra,India,https://linkedin.com/in/sneha-iyer-t0we1l,,0,Cold,,success,,apollo_intent_signal,,
Rahul,Patel,Rahul Patel,rahul.patel@northstarinvestments.com,+91-998359-3052,Managing Partner,NorthStar Investments,Family Office,individual_contributor,Bangalore,Maharashtra,India,https://linkedin.com/in/rahul-patel-xqcra7,,0,Cold,,success,,apollo_intent_signal,,
Vikram,Gupta,Vikram Gupta,vikram.gupta@axisgrowthpartners.com,+91-908921-7602,Owner,Axis Growth Partners,Asset Management,c_suite,Delhi,Maharashtra,India,https://linkedin.com/in/vikram-gupta-y6koj,,0,Cold,,success,,apollo_intent_signal,,
Vikram,Iyer,Vikram Iyer,vikram.iyer@northstarinvestments.com,+91-976497-0788,Founder,NorthStar Investments,Investment Banking,c_suite,Pune,Maharashtra,India,https://linkedin.com/in/vikram-iyer-lx0985,,0,Cold,,success,,apollo_intent_signal,,
Karan,Patel,Karan Patel,karan.patel@aurorafamilyoffice.com,+91-915343-0899,Co-Founder,Aurora Family Office,Hedge Fund,c_suite,Pune,Maharashtra,India,https://linkedin.com/in/karan-patel-9d57z,,0,Cold,,success,,apollo_intent_signal,,
Amit,Kapoor,Amit Kapoor,amit.kapoor@centurionfinance.com,+91-917763-1801,Family Office Principal,Centurion Finance,Family Office,individual_contributor,Delhi,Maharashtra,India,https://linkedin.com/in/amit-kapoor-s6uyes,,0,Cold,,success,,apollo_intent_signal,,
Amit,Patel,Amit Patel,amit.patel@elevatecapital.com,+91-945449-8093,Founder,Elevate Capital,Family Office,c_suite,Delhi,Maharashtra,India,https://linkedin.com/in/amit-patel-arquu,,0,Cold,,success,,apollo_intent_signal,,
Priya,Mehta,Priya Mehta,priya.mehta@northstarinvestments.com,+91-919619-3590,Chairman,NorthStar Investments,Private Equity,individual_contributor,Hyderabad,Maharashtra,India,https://linkedin.com/in/priya-mehta-t517f,,0,Cold,,success,,apollo_intent_signal,,
Rahul,Patel,Rahul Patel,rahul.patel@northstarinvestments.com,+91-940808-2054,Chief Executive Officer,NorthStar Investments,Private Equity,individual_contributor,Mumbai,Maharashtra,India,https://linkedin.com/in/rahul-patel-ju5fgb,,0,Cold,,success,,apollo_intent_signal,,
Ananya,Kapoor,Ananya Kapoor,ananya.kapoor@centurionfinance.com,+91-931383-6032,Family Office Principal,Centurion Finance,Venture Capital,individual_contributor,Pune,Maharashtra,India,https://linkedin.com/in/ananya-kapoor-s58c,,0,Cold,,success,,apollo_intent_signal,,
Ananya,Patel,Ananya Patel,ananya.patel@elevatecapital.com,+91-945127-5845,Chief Executive Officer,Elevate Capital,Investment Banking,individual_contributor,Pune,Maharashtra,India,https://linkedin.com/in/ananya-patel-g4t13r,,0,Cold,,success,,apollo_intent_signal,,
Sneha,Reddy,Sneha Reddy,sneha.reddy@centurionfinance.com,+91-909930-0261,CEO,Centurion Finance,Investment Banking,c_suite,Hyderabad,Maharashtra,India,https://linkedin.com/in/sneha-reddy-igctwq,,0,Cold,,success,,apollo_intent_signal,,
Vikram,Gupta,Vikram Gupta,vikram.gupta@aurorafamilyoffice.com,+91-915793-7479,Board Member,Aurora Family Office,Family Office,individual_contributor,Hyderabad,Maharashtra,India,https://linkedin.com/in/vikram-gupta-yduw4w,,0,Cold,,success,,apollo_intent_signal,,
Karan,Mehta,Karan Mehta,karan.mehta@centurionfinance.com,+91-953867-6406,Owner,Centurion Finance,Investment Banking,c_suite,Mumbai,Maharashtra,India,https://linkedin.com/in/karan-mehta-popci,,0,Cold,,success,,apollo_intent_signal,,
Karan,Kapoor,Karan Kapoor,karan.kapoor@aurorafamilyoffice.com,+91-959959-9851,Chief Executive Officer,Aurora Family Office,Family Office,individual_contributor,Delhi,Maharashtra,India,https://linkedin.com/in/karan-kapoor-wcrcf,,0,Cold,,success,,apollo_intent_signal,,
Ananya,Sharma,Ananya Sharma,ananya.sharma@aurorafamilyoffice.com,+91-922113-7531,Owner,Aurora Family Office,Family Office,c_suite,Chennai,Maharashtra,India,https://linkedin.com/in/ananya-sharma-co8jse,,0,Cold,,success,,apollo_intent_signal,,
Karan,Mehta,Karan Mehta,karan.mehta@centurionfinance.com,+91-972641-0229,Managing Partner,Centurion Finance,Hedge Fund,individual_contributor,Bangalore,Maharashtra,India,https://linkedin.com/in/karan-mehta-v6z3z,,0,Cold,,success,,apollo_intent_signal,,
Rahul,Iyer,Rahul Iyer,rahul.iyer@axisgrowthpartners.com,+91-995531-2846,Chairman,Axis Growth Partners,Investment Banking,individual_contributor,Hyderabad,Maharashtra,India,https://linkedin.com/in/rahul-iyer-p4oe4o,,0,Cold,,success,,apollo_intent_signal,,
Karan,Gupta,Karan Gupta,karan.gupta@centurionfinance.com,+91-943394-1938,Chairman,Centurion Finance,Family Office,individual_contributor,Pune,Maharashtra,India,https://linkedin.com/in/karan-gupta-ckjy48,,0,Cold,,success,,apollo_intent_signal,,
Neha,Patel,Neha Patel,neha.patel@aurorafamilyoffice.com,+91-946893-1175,CEO,Aurora Family Office,Hedge Fund,c_suite,Mumbai,Maharashtra,India,https://linkedin.com/in/neha-patel-fbrtgs,,0,Cold,,success,,apollo_intent_signal,,
Rahul,Patel,Rahul Patel,rahul.patel@aurorafamilyoffice.com,+91-934802-5032,Managing Partner,Aurora Family Office,Asset Management,individual_contributor,Bangalore,Maharashtra,India,https://linkedin.com/in/rahul-patel-dgpp08,,0,Cold,,success,,apollo_intent_signal,,
Amit,Sharma,Amit Sharma,amit.sharma@elevatecapital.com,+91-962630-3173,Family Office Principal,Elevate Capital,Hedge Fund,individual_contributor,Hyderabad,Maharashtra,India,https://linkedin.com/in/amit-sharma-9wl9wm,,0,Cold,,success,,apollo_intent_signal,,
